Business Name,Business Category,Address,Contact
Aakash electronics,Electronics store,Amla toli,070042 90922
Preeti electronic,Electronics store,"ITI College, HX46+RV4, SH 13",082102 02378
New Shiv Guru Electric & Electronics,Electronics store,"Amla toli main road, AMLA TOLI MAIN RAOD, near Baba bata show",085409 53913
"Gautam Electronics, Jaso road, Golambar, Buxar",Electronics store,"Jaso, road, Golambar - Jaso Rd",099340 94347
Indralokwani Radio Kendra,Electronics store,PP Rd,097080 85585
Sai Electronics,Electronics store,"Down of Axis Bank, Pushtakalay Road",099318 15643
OM Computers Buxar,Computer store,"Sahid Baba Gali, PP Rd",079829 73010
Suman Electronic,Electronics store,"HXGH+735, Namak gola road",094310 98670
Smart Mobile And Bijli Ghar,Electronics store,Unnamed Road,082109 67003
HP World,Computer store,Ground Floor Collectorate Road,086575 68682
The Techpro,Electronics store,road blow,084430 26265
Shri Hari Computers,Computer store,"P.P.Road Bakshu Shahid Gali, PP Rd",092042 61287
Star Electronics,Electronics store,PP Rd,094310 83695
Reliance Digital,Electronics store,"Ground & 1st Flr Ward, Plot No 500, Kh No 279, Station Rd, opposite Buniyadi School",08071 178 122
Vaishnavi infotech,Computer store,"Collectorate road, near anand tiles",099393 97593
Sarswati Enterprises,Electronics store,"HXGH+643, Namak gola road",081020 70551
MILITARY STORE CSD CANTEEN,Electronics store,"Gola Bazar Road, near CSD Canteen",094553 77237
NEW MOBILE JUNCTION,Electronics store,in front of Buxar Hotel,093867 20903
Agrawal Electric,Electronics store,"Jamuna Chowk, Main road",070708 36889
Studios Shish Mahal,Camera store,near Sbi Atm,093340 09213
Raj electric and lighting,Electronics store,"buniyadi school ke saamne, Station Rd",094710 55644
Baba Bijli Ghar,Electronics store,munim chowk,097717 61560
Sanjit Cyber Cafe,Computer store,"Raj Katra, Nai Bazar Sabji Mandi",078709 71577
Anand Kumar Verma,Electronics store,"Shop No 01, near Panchmukhi Mandir",062027 27392
Chandan Gupta Buxer,Electronics store,"HX8G+FHF, Station Rd",095343 73672
